"SEX","AGE","GEO","CITIZEN","ASYL_APP","UNIT","TIME","Value","Flag and Footnotes"
"Total","Less than 14 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,290",""
"Total","Less than 14 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","5,230",""
"Total","Less than 14 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","390",""
"Total","Less than 14 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","360",""
"Total","Less than 14 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,070",""
"Total","Less than 14 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","3,800",""
"Total","Less than 14 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","12,715",""
"Total","Less than 14 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","12,300",""
"Total","Less than 14 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,355",""
"Total","Less than 14 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","4,385",""
"Total","Less than 14 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","280",""
"Total","Less than 14 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","85",""
"Total","Less than 14 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","395",""
"Total","Less than 14 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","395",""
"Total","Less than 14 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","195",""
"Total","Less than 14 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","185",""
"Total","Less than 14 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","30",""
"Total","Less than 14 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","Less than 14 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,405",""
"Total","Less than 14 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,375",""
"Total","Less than 14 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","8,250",""
"Total","Less than 14 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","7,160",""
"Total","Less than 14 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,490",""
"Total","Less than 14 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","5,350",""
"Total","Less than 14 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","225",""
"Total","Less than 14 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","220",""
"Total","Less than 14 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15",""
"Total","Less than 14 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","15",""
"Total","Less than 14 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","925",""
"Total","Less than 14 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","905",""
"Total","Less than 14 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,615",""
"Total","Less than 14 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","6,345",""
"Total","Less than 14 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","299,935",""
"Total","Less than 14 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","290,005",""
"Total","From 14 to 17 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","106,100",""
"Total","From 14 to 17 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","103,885",""
"Total","From 14 to 17 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,905",""
"Total","From 14 to 17 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","1,760",""
"Total","From 14 to 17 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,010",""
"Total","From 14 to 17 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","2,995",""
"Total","From 14 to 17 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","55",""
"Total","From 14 to 17 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","45",""
"Total","From 14 to 17 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,325",""
"Total","From 14 to 17 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","1,320",""
"Total","From 14 to 17 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","66,635",""
"Total","From 14 to 17 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","65,460",""
"Total","From 14 to 17 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","From 14 to 17 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","From 14 to 17 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","105",""
"Total","From 14 to 17 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","105",""
"Total","From 14 to 17 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,915",""
"Total","From 14 to 17 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","4,900",""
"Total","From 14 to 17 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","540",""
"Total","From 14 to 17 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","525",""
"Total","From 14 to 17 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,130",""
"Total","From 14 to 17 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","2,140",""
"Total","From 14 to 17 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","210",""
"Total","From 14 to 17 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","205",""
"Total","From 14 to 17 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,245",""
"Total","From 14 to 17 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","6,240",""
"Total","From 14 to 17 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","245",""
"Total","From 14 to 17 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","240",""
"Total","From 14 to 17 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15",""
"Total","From 14 to 17 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","15",""
"Total","From 14 to 17 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Total","From 14 to 17 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Total","From 14 to 17 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","115",""
"Total","From 14 to 17 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","90",""
"Total","From 14 to 17 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,260",""
"Total","From 14 to 17 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","3,225",""
"Total","From 14 to 17 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","65",""
"Total","From 14 to 17 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","60",""
"Total","From 14 to 17 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,150",""
"Total","From 14 to 17 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","2,075",""
"Total","From 14 to 17 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,150",""
"Total","From 14 to 17 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","5,065",""
"Total","From 14 to 17 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","565",""
"Total","From 14 to 17 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","425",""
"Total","From 14 to 17 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","80",""
"Total","From 14 to 17 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","55",""
"Total","From 14 to 17 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","135",""
"Total","From 14 to 17 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","135",""
"Total","From 14 to 17 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","235",""
"Total","From 14 to 17 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","235",""
"Total","From 14 to 17 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","From 14 to 17 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Total","From 14 to 17 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","335",""
"Total","From 14 to 17 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","330",""
"Total","From 14 to 17 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,625",""
"Total","From 14 to 17 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","2,225",""
"Total","From 14 to 17 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,015",""
"Total","From 14 to 17 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","3,970",""
"Total","From 14 to 17 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","50",""
"Total","From 14 to 17 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","50",""
"Total","From 14 to 17 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Total","From 14 to 17 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Total","From 14 to 17 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","325",""
"Total","From 14 to 17 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","320",""
"Total","From 14 to 17 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,630",""
"Total","From 14 to 17 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","2,580",""
"Total","From 14 to 17 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","109,110",""
"Total","From 14 to 17 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","106,840",""
"Total","From 18 to 34 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","644,150",""
"Total","From 18 to 34 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","616,985",""
"Total","From 18 to 34 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","8,390",""
"Total","From 18 to 34 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","6,325",""
"Total","From 18 to 34 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10,865",""
"Total","From 18 to 34 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","10,535",""
"Total","From 18 to 34 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","650",""
"Total","From 18 to 34 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","565",""
"Total","From 18 to 34 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,695",""
"Total","From 18 to 34 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","2,630",""
"Total","From 18 to 34 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","350,875",""
"Total","From 18 to 34 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","340,840",""
"Total","From 18 to 34 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","80",""
"Total","From 18 to 34 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","65",""
"Total","From 18 to 34 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,115",""
"Total","From 18 to 34 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,110",""
"Total","From 18 to 34 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","21,910",""
"Total","From 18 to 34 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","21,145",""
"Total","From 18 to 34 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","8,220",""
"Total","From 18 to 34 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","8,125",""
"Total","From 18 to 34 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","48,055",""
"Total","From 18 to 34 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","43,780",""
"Total","From 18 to 34 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,455",""
"Total","From 18 to 34 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","1,400",""
"Total","From 18 to 34 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","98,875",""
"Total","From 18 to 34 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","97,715",""
"Total","From 18 to 34 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,695",""
"Total","From 18 to 34 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","1,625",""
"Total","From 18 to 34 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","165",""
"Total","From 18 to 34 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","165",""
"Total","From 18 to 34 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","145",""
"Total","From 18 to 34 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","145",""
"Total","From 18 to 34 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,095",""
"Total","From 18 to 34 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","895",""
"Total","From 18 to 34 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","17,200",""
"Total","From 18 to 34 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","16,270",""
"Total","From 18 to 34 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,070",""
"Total","From 18 to 34 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","955",""
"Total","From 18 to 34 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10,605",""
"Total","From 18 to 34 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","9,765",""
"Total","From 18 to 34 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","18,815",""
"Total","From 18 to 34 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","17,460",""
"Total","From 18 to 34 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,920",""
"Total","From 18 to 34 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","3,175",""
"Total","From 18 to 34 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","800",""
"Total","From 18 to 34 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","400",""
"Total","From 18 to 34 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,010",""
"Total","From 18 to 34 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","995",""
"Total","From 18 to 34 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","700",""
"Total","From 18 to 34 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","670",""
"Total","From 18 to 34 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","75",""
"Total","From 18 to 34 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","55",""
"Total","From 18 to 34 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,785",""
"Total","From 18 to 34 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","2,575",""
"Total","From 18 to 34 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","11,075",""
"Total","From 18 to 34 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","7,980",""
"Total","From 18 to 34 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","19,815",""
"Total","From 18 to 34 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","19,620",""
"Total","From 18 to 34 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","585",""
"Total","From 18 to 34 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","575",""
"Total","From 18 to 34 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","35",""
"Total","From 18 to 34 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","35",""
"Total","From 18 to 34 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,615",""
"Total","From 18 to 34 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","1,480",""
"Total","From 18 to 34 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","14,640",""
"Total","From 18 to 34 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","14,020",""
"Total","From 18 to 34 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","661,025",""
"Total","From 18 to 34 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","633,095",""
"Total","From 35 to 64 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","209,145",""
"Total","From 35 to 64 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","193,815",""
"Total","From 35 to 64 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,000",""
"Total","From 35 to 64 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","2,800",""
"Total","From 35 to 64 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,890",""
"Total","From 35 to 64 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","1,835",""
"Total","From 35 to 64 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","520",""
